"siteID","scientificName","abund","oldName","sim"
"control","BA",8,"BA",-99
"control","DM",571,"DM",-99
"control","DO",123,"DO",-99
"control","DS",14,"DS",-99
"control","PB",705,"PB",-99
"control","PE",58,"PE",-99
"control","PF",22,"PF",-99
"control","PI",8,"PI",-99
"control","PL",17,"PL",-99
"control","PM",24,"PM",-99
"control","PP",518,"PP",-99
"control","RM",26,"RM",-99
"control","RO",1,"RO",-99
"exclosure","BA",16,"BA",-99
"exclosure","DM",17,"DM",-99
"exclosure","DO",28,"DO",-99
"exclosure","PB",918,"PB",-99
"exclosure","PE",24,"PE",-99
"exclosure","PF",37,"PF",-99
"exclosure","PI",7,"PI",-99
"exclosure","PL",8,"PL",-99
"exclosure","PM",14,"PM",-99
"exclosure","PP",531,"PP",-99
"exclosure","RF",1,"RF",-99
"exclosure","RM",79,"RM",-99
"exclosure","RO",6,"RO",-99
